key,relative_path,img_name,arg_label,arg_bounding_box,ref_label,ref_bounding_box,proximity,overlap,f0,f2,hybrid,level_one_summary,general_level_two_summary
000000000308_wine_glass_1_wine_glass_2,000000000308.jpg,308,wine_glass_1,"[362, 220, 397, 286]",wine_glass_2,"[229, 150, 264, 220]",-0.7916666666666666,0.0,333,333,333,wine_glass_1 is to the right of wine_glass_2,wine_glass_1 Not Interacting wine_glass_2
000000000308_person_4_wine_glass_2,000000000308.jpg,308,person_4,"[335, 79, 387, 261]",wine_glass_2,"[229, 150, 264, 220]",-0.5856864654333008,0.0,29,0,0,person_4 is to the right of wine_glass_2,person_4 Not Interacting wine_glass_2
000000000315_person_1_person_2,000000000315.jpg,315,person_1,"[334, 137, 394, 340]",person_2,"[480, 138, 542, 333]",-0.4252084122773777,0.0,229,180,180,person_1 is to the left of person_2,person_1 Not Interacting person_2
000000000315_person_1_umbrella_1,000000000315.jpg,315,person_1,"[334, 137, 394, 340]",umbrella_1,"[144, 109, 319, 205]",-0.4981818181818181,0.0,323,340,340,person_1 is to the right of umbrella_1,person_1 Not Interacting umbrella_1
000000000315_person_1_umbrella_2,000000000315.jpg,315,person_1,"[334, 137, 394, 340]",umbrella_2,"[373, 133, 429, 157]",-0.3015871618846447,0.032051282051282,255,181,248,person_1 overlaps and is below umbrella_2,person_1 Interacting umbrella_2
000000000315_person_1_umbrella_3,000000000315.jpg,315,person_1,"[334, 137, 394, 340]",umbrella_3,"[284, 115, 369, 134]",-0.4426262626262626,0.0,285,290,290,person_1 is below umbrella_3,person_1 Not Interacting umbrella_3
000000000315_person_1_umbrella_4,000000000315.jpg,315,person_1,"[334, 137, 394, 340]",umbrella_4,"[466, 106, 529, 127]",-0.7040762656147271,0.0,247,218,218,person_1 is below and to the left of umbrella_4,person_1 Not Interacting umbrella_4
000000000315_person_1_umbrella_5,000000000315.jpg,315,person_1,"[334, 137, 394, 340]",umbrella_5,"[428, 45, 463, 134]",-0.5980817238207857,0.0,250,236,236,person_1 is below and to the left of umbrella_5,person_1 Not Interacting umbrella_5
000000000315_person_2_umbrella_1,000000000315.jpg,315,person_2,"[480, 138, 542, 333]",umbrella_1,"[144, 109, 319, 205]",-0.6759466977745873,0.0,334,347,347,person_2 is to the right of umbrella_1,person_2 Not Interacting umbrella_1
000000000315_person_2_umbrella_2,000000000315.jpg,315,person_2,"[480, 138, 542, 333]",umbrella_2,"[373, 133, 429, 157]",-0.6025443786982249,0.0,285,229,285,person_2 is below umbrella_2,person_2 Not Interacting umbrella_2
000000000315_person_2_umbrella_3,000000000315.jpg,315,person_2,"[480, 138, 542, 333]",umbrella_3,"[284, 115, 369, 134]",-0.7563295640423867,0.0,305,339,339,person_2 is to the right of umbrella_3,person_2 Not Interacting umbrella_3
000000000315_person_2_umbrella_4,000000000315.jpg,315,person_2,"[480, 138, 542, 333]",umbrella_4,"[466, 106, 529, 127]",-0.2225249246464178,0.0,270,270,270,person_2 is below umbrella_4,person_2 Not Interacting umbrella_4
000000000315_person_2_umbrella_5,000000000315.jpg,315,person_2,"[480, 138, 542, 333]",umbrella_5,"[428, 45, 463, 134]",-0.536884746588694,0.0,270,270,270,person_2 is below umbrella_5,person_2 Not Interacting umbrella_5
000000000315_umbrella_1_umbrella_2,000000000315.jpg,315,umbrella_1,"[144, 109, 319, 205]",umbrella_2,"[373, 133, 429, 157]",-0.3368421052631579,0.0,190,180,180,umbrella_1 is to the left of umbrella_2,umbrella_1 Not Interacting umbrella_2
000000000315_umbrella_1_umbrella_3,000000000315.jpg,315,umbrella_1,"[144, 109, 319, 205]",umbrella_3,"[284, 115, 369, 134]",-0.1407759520083463,0.0374647887323943,200,103,200,umbrella_1 overlaps and is to the left of umbrella_3,umbrella_1 Interacting umbrella_3
000000000315_umbrella_1_umbrella_4,000000000315.jpg,315,umbrella_1,"[144, 109, 319, 205]",umbrella_4,"[466, 106, 529, 127]",-0.5245179063360882,0.0,196,182,182,umbrella_1 is to the left of umbrella_4,umbrella_1 Not Interacting umbrella_4
000000000315_umbrella_1_umbrella_5,000000000315.jpg,315,umbrella_1,"[144, 109, 319, 205]",umbrella_5,"[428, 45, 463, 134]",-0.6098158307210031,0.0,198,199,199,umbrella_1 is to the left of umbrella_5,umbrella_1 Not Interacting umbrella_5
000000000315_umbrella_2_umbrella_3,000000000315.jpg,315,umbrella_2,"[373, 133, 429, 157]",umbrella_3,"[284, 115, 369, 134]",-0.5141215106732349,0.0,347,340,340,umbrella_2 is to the right of umbrella_3,umbrella_2 Not Interacting umbrella_3
000000000315_umbrella_2_umbrella_4,000000000315.jpg,315,umbrella_2,"[373, 133, 429, 157]",umbrella_4,"[466, 106, 529, 127]",-0.6647812971342383,0.0,219,270,270,umbrella_2 is below umbrella_4,umbrella_2 Not Interacting umbrella_4
000000000315_umbrella_2_umbrella_5,000000000315.jpg,315,umbrella_2,"[373, 133, 429, 157]",umbrella_5,"[428, 45, 463, 134]",-0.5575137794013972,0.000224315836698,243,189,270,umbrella_2 overlaps and is below umbrella_5,umbrella_2 Not Interacting umbrella_5
000000000315_umbrella_3_umbrella_4,000000000315.jpg,315,umbrella_3,"[284, 115, 369, 134]",umbrella_4,"[466, 106, 529, 127]",-0.5717201166180758,0.0,184,185,185,umbrella_3 is to the left of umbrella_4,umbrella_3 Not Interacting umbrella_4
000000000315_umbrella_3_umbrella_5,000000000315.jpg,315,umbrella_3,"[284, 115, 369, 134]",umbrella_5,"[428, 45, 463, 134]",-0.7030945954428472,0.0,207,180,180,umbrella_3 is to the left of umbrella_5,umbrella_3 Not Interacting umbrella_5
000000000315_umbrella_4_umbrella_5,000000000315.jpg,315,umbrella_4,"[466, 106, 529, 127]",umbrella_5,"[428, 45, 463, 134]",-0.5062854600066748,0.0,270,244,270,umbrella_4 is below umbrella_5,umbrella_4 Not Interacting umbrella_5
000000000885_person_1_tennis_racket_1,000000000885.jpg,885,person_1,"[272, 177, 409, 399]",tennis_racket_1,"[396, 271, 473, 307]",-0.2524701841085264,0.0143040528149642,143,91,143,person_1 overlaps and is above and to the left of tennis_racket_1,person_1 Interacting tennis_racket_1
000000000885_person_2_tennis_racket_1,000000000885.jpg,885,person_2,"[594, 37, 639, 244]",tennis_racket_1,"[396, 271, 473, 307]",-0.8157750342935528,0.0,84,90,90,person_2 is above tennis_racket_1,person_2 Not Interacting tennis_racket_1
000000000885_person_3_tennis_racket_1,000000000885.jpg,885,person_3,"[299, 91, 398, 250]",tennis_racket_1,"[396, 271, 473, 307]",-0.5074233716475096,0.0,118,118,118,person_3 is above tennis_racket_1,person_3 Not Interacting tennis_racket_1
000000000885_person_4_tennis_racket_1,000000000885.jpg,885,person_4,"[409, 0, 485, 12]",tennis_racket_1,"[396, 271, 473, 307]",-0.8651685393258427,0.0,88,90,90,person_4 is above tennis_racket_1,person_4 Not Interacting tennis_racket_1
000000000885_person_1_person_2,000000000885.jpg,885,person_1,"[272, 177, 409, 399]",person_2,"[594, 37, 639, 244]",-0.7009574420040044,0.0,245,211,211,person_1 is below and to the left of person_2,person_1 Not Interacting person_2
000000000885_person_1_person_3,000000000885.jpg,885,person_1,"[272, 177, 409, 399]",person_3,"[299, 91, 398, 250]",0.1082023322200583,0.1856504315659679,264,192,264,person_1 overlaps and is below person_3,person_1 Interacting person_3
000000000885_person_1_person_4,000000000885.jpg,885,person_1,"[272, 177, 409, 399]",person_4,"[409, 0, 485, 12]",-0.6314024497864379,0.0,251,264,264,person_1 is below person_4,person_1 Not Interacting person_4
000000000885_person_2_person_3,000000000885.jpg,885,person_2,"[594, 37, 639, 244]",person_3,"[299, 91, 398, 250]",-0.6540182270091135,0.0,42,6,6,person_2 is to the right of person_3,person_2 Not Interacting person_3
000000000885_person_2_person_4,000000000885.jpg,885,person_2,"[594, 37, 639, 244]",person_4,"[409, 0, 485, 12]",-0.8177655024946543,0.0,274,270,270,person_2 is below person_4,person_2 Not Interacting person_4
000000000885_person_3_person_4,000000000885.jpg,885,person_3,"[299, 91, 398, 250]",person_4,"[409, 0, 485, 12]",-0.6418709677419355,0.0,245,252,252,person_3 is below person_4,person_3 Not Interacting person_4
000000001296_person_1_cell_phone_1,000000001296.jpg,1296,person_1,"[14, 7, 418, 643]",cell_phone_1,"[297, 143, 372, 279]",0.0396973659630114,0.0396973659630114,210,134,210,person_1 overlaps and is to the left of cell_phone_1,person_1 Interacting cell_phone_1
000000001296_person_1_person_2,000000001296.jpg,1296,person_1,"[14, 7, 418, 643]",person_2,"[274, 20, 402, 214]",0.0966436266268136,0.0966436266268136,224,134,224,person_1 overlaps and is below and to the left of person_2,person_1 Interacting person_2
000000001296_person_2_cell_phone_1,000000001296.jpg,1296,person_2,"[274, 20, 402, 214]",cell_phone_1,"[297, 143, 372, 279]",0.0753353824297225,0.1792506816575218,82,3,82,person_2 overlaps and is above cell_phone_1,person_2 Interacting cell_phone_1
000000001490_person_1_surfboard_1,000000001490.jpg,1490,person_1,"[449, 120, 500, 235]",surfboard_1,"[346, 230, 577, 245]",-0.6576151121605667,0.028099173553719,90,242,90,person_1 overlaps and is above surfboard_1,person_1 Not Interacting surfboard_1
000000001584_person_1_bus_1,000000001584.jpg,1584,person_1,"[76, 376, 97, 429]",bus_1,"[120, 94, 545, 518]",-0.0882196162046908,0.0,213,180,180,person_1 is to the left of bus_1,person_1 Not Interacting bus_1
000000001584_bus_1_bus_2,000000001584.jpg,1584,bus_1,"[120, 94, 545, 518]",bus_2,"[565, 314, 606, 401]",-0.1082042472241633,0.0,153,180,180,bus_1 is to the left of bus_2,bus_1 Not Interacting bus_2
000000001584_person_2_bus_1,000000001584.jpg,1584,person_2,"[113, 384, 127, 428]",bus_1,"[120, 94, 545, 518]",-0.0128158917157737,0.0017062955658474,216,96,215,person_2 overlaps and is below and to the left of bus_1,person_2 Interacting bus_1
000000001584_person_1_bus_2,000000001584.jpg,1584,person_1,"[76, 376, 97, 429]",bus_2,"[565, 314, 606, 401]",-0.9232157506152584,0.0,186,184,184,person_1 is to the left of bus_2,person_1 Not Interacting bus_2
000000001584_person_1_person_2,000000001584.jpg,1584,person_1,"[76, 376, 97, 429]",person_2,"[113, 384, 127, 428]",-0.3603403625601183,0.0,169,180,180,person_1 is to the left of person_2,person_1 Not Interacting person_2
000000001584_person_2_bus_2,000000001584.jpg,1584,person_2,"[113, 384, 127, 428]",bus_2,"[565, 314, 606, 401]",-0.9255720436995124,0.0,188,184,184,person_2 is to the left of bus_2,person_2 Not Interacting bus_2
000000002006_person_1_bus_1,000000002006.jpg,2006,person_1,"[8, 255, 54, 358]",bus_1,"[43, 70, 594, 424]",-0.0366455382398001,0.0057032402257134,204,96,203,person_1 overlaps and is to the left of bus_1,person_1 Interacting bus_1
000000002006_person_2_bus_1,000000002006.jpg,2006,person_2,"[316, 192, 378, 258]",bus_1,"[43, 70, 594, 424]",0.0209788058691439,0.0209788058691439,31,9,31,person_2 overlaps and is above and to the right of bus_1,person_2 Interacting bus_1
000000002006_person_1_person_2,000000002006.jpg,2006,person_1,"[8, 255, 54, 358]",person_2,"[316, 192, 378, 258]",-0.8562357538261153,0.0,196,193,193,person_1 is to the left of person_2,person_1 Not Interacting person_2
000000002153_person_1_baseball_bat_1,000000002153.jpg,2153,person_1,"[290, 278, 449, 444]",baseball_bat_1,"[374, 183, 456, 238]",-0.2867100586253058,0.0,249,264,264,person_1 is below baseball_bat_1,person_1 Not Interacting baseball_bat_1
000000002153_person_1_person_2,000000002153.jpg,2153,person_1,"[290, 278, 449, 444]",person_2,"[172, 0, 236, 121]",-0.7224282043776629,0.0,299,298,298,person_1 is below person_2,person_1 Not Interacting person_2
000000002153_person_2_baseball_bat_1,000000002153.jpg,2153,person_2,"[172, 0, 236, 121]",baseball_bat_1,"[374, 183, 456, 238]",-0.8187063557817493,0.0,144,146,146,person_2 is above and to the left of baseball_bat_1,person_2 Not Interacting baseball_bat_1
000000002261_person_1_surfboard_1,000000002261.jpg,2261,person_1,"[282, 150, 384, 267]",surfboard_1,"[267, 249, 351, 289]",-0.0475667813643718,0.0883859948761742,68,8,69,person_1 overlaps and is above surfboard_1,person_1 Interacting surfboard_1
000000002473_person_1_person_2,000000002473.jpg,2473,person_1,"[117, 343, 145, 385]",person_2,"[443, 279, 498, 379]",-0.8346951914029614,0.0,191,182,182,person_1 is to the left of person_2,person_1 Not Interacting person_2
000000002473_person_1_person_3,000000002473.jpg,2473,person_1,"[117, 343, 145, 385]",person_3,"[256, 91, 363, 247]",-0.7529450804712129,0.0,229,226,226,person_1 is below and to the left of person_3,person_1 Not Interacting person_3
000000002473_person_1_person_4,000000002473.jpg,2473,person_1,"[117, 343, 145, 385]",person_4,"[30, 327, 59, 354]",-0.7062968515742128,0.0,344,346,346,person_1 is to the right of person_4,person_1 Not Interacting person_4
000000002473_person_1_skis_1,000000002473.jpg,2473,person_1,"[117, 343, 145, 385]",skis_1,"[284, 215, 329, 263]",-0.9074361820199778,0.0,216,215,215,person_1 is below and to the left of skis_1,person_1 Not Interacting skis_1
000000002473_person_2_person_3,000000002473.jpg,2473,person_2,"[443, 279, 498, 379]",person_3,"[256, 91, 363, 247]",-0.6815886134067952,0.0,304,309,309,person_2 is below and to the right of person_3,person_2 Not Interacting person_3
000000002473_person_2_person_4,000000002473.jpg,2473,person_2,"[443, 279, 498, 379]",person_4,"[30, 327, 59, 354]",-0.8657478632478632,0.0,7,0,0,person_2 is to the right of person_4,person_2 Not Interacting person_4
000000002473_person_2_skis_1,000000002473.jpg,2473,person_2,"[443, 279, 498, 379]",skis_1,"[284, 215, 329, 263]",-0.7817415090038751,0.0,319,329,329,person_2 is below and to the right of skis_1,person_2 Not Interacting skis_1
000000002473_person_3_person_4,000000002473.jpg,2473,person_3,"[256, 91, 363, 247]",person_4,"[30, 327, 59, 354]",-0.8004658651046483,0.0,37,27,27,person_3 is to the right of person_4,person_3 Not Interacting person_4
000000002473_person_3_skis_1,000000002473.jpg,2473,person_3,"[256, 91, 363, 247]",skis_1,"[284, 215, 329, 263]",0.0288002593149752,0.0827015851137146,76,2,76,person_3 overlaps and is above skis_1,person_3 Interacting skis_1
000000002473_person_4_skis_1,000000002473.jpg,2473,person_4,"[30, 327, 59, 354]",skis_1,"[284, 215, 329, 263]",-0.9291884218377806,0.0,201,201,201,person_4 is to the left of skis_1,person_4 Not Interacting skis_1
000000003156_person_1_toilet_1,000000003156.jpg,3156,person_1,"[3, 19, 374, 617]",toilet_1,"[261, 225, 443, 600]",0.1125720703168499,0.1710510912958709,140,100,140,person_1 overlaps and is above and to the left of toilet_1,person_1 Interacting toilet_1
000000003553_person_1_skateboard_1,000000003553.jpg,3553,person_1,"[28, 0, 436, 305]",skateboard_1,"[168, 263, 378, 370]",-0.0213829837940073,0.0638713882250706,122,4,121,person_1 overlaps and is above and to the left of skateboard_1,person_1 Interacting skateboard_1
000000003934_person_1_person_2,000000003934.jpg,3934,person_1,"[61, 135, 210, 466]",person_2,"[192, 109, 236, 224]",-0.1248759605022447,0.0303541315345699,236,187,234,person_1 overlaps and is below and to the left of person_2,person_1 Interacting person_2
000000003934_person_1_sofa_1,000000003934.jpg,3934,person_1,"[61, 135, 210, 466]",sofa_1,"[146, 207, 380, 378]",-0.11799116610661,0.1396114250723953,160,96,160,person_1 overlaps and is to the left of sofa_1,person_1 Interacting sofa_1
000000003934_person_1_person_3,000000003934.jpg,3934,person_1,"[61, 135, 210, 466]",person_3,"[39, 72, 99, 330]",-0.0190837500446906,0.1291188206799212,299,277,299,person_1 overlaps and is below person_3,person_1 Interacting person_3
